iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,614908,tonnes,annual,2023-10-03 21:10:31.213091,2023-11-02 13:52:57.709006
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,614908,tonnes,annual,2023-10-03 21:10:31.213124,2023-11-02 13:52:57.709006
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,614908,tonnes,annual,2023-10-03 21:10:31.213131,2023-11-02 13:52:57.709006
AUS,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,634729,tonnes,annual,2023-10-03 21:10:31.213649,2023-11-02 13:52:57.709006
AUS,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,729205,tonnes,annual,2023-10-03 21:10:31.214849,2023-11-02 13:52:57.709006
AUS,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,729205,tonnes,annual,2023-10-03 21:10:31.214868,2023-11-02 13:52:57.709006
AUS,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,802134,tonnes,annual,2023-10-03 21:10:31.215374,2023-11-02 13:52:57.709006
AUS,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,802134,tonnes,annual,2023-10-03 21:10:31.215405,2023-11-02 13:52:57.709006
AUS,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,802134,tonnes,annual,2023-10-03 21:10:31.215413,2023-11-02 13:52:57.709006
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2,38878,tonnes,annual,2023-10-03 21:10:31.217722,2023-11-02 13:52:57.709006
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_100yr,38878,tonnes,annual,2023-10-03 21:10:31.217753,2023-11-02 13:52:57.709006
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,bauxite-mining,co2e_20yr,38878,tonnes,annual,2023-10-03 21:10:31.217761,2023-11-02 13:52:57.709006
AUT,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2,31665,tonnes,annual,2023-10-03 21:10:31.218267,2023-11-02 13:52:57.709006
AUT,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_100yr,31665,tonnes,annual,2023-10-03 21:10:31.218298,2023-11-02 13:52:57.709006
AUT,2016-01-01 00:00:00,2016-12-31 00:00:00,bauxite-mining,co2e_20yr,31665,tonnes,annual,2023-10-03 21:10:31.218305,2023-11-02 13:52:57.709006
