iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ALB,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2,1656,tonnes,annual,2023-10-03 21:10:30.954593,2023-11-02 13:52:59.925926
ALB,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2e_100yr,1656,tonnes,annual,2023-10-03 21:10:30.954623,2023-11-02 13:52:59.925926
ALB,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2e_20yr,1656,tonnes,annual,2023-10-03 21:10:30.95463,2023-11-02 13:52:59.925926
ALB,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2,21533,tonnes,annual,2023-10-03 21:10:30.955639,2023-11-02 13:52:59.925926
ALB,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2e_100yr,21533,tonnes,annual,2023-10-03 21:10:30.955669,2023-11-02 13:52:59.925926
ALB,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2e_20yr,21533,tonnes,annual,2023-10-03 21:10:30.955676,2023-11-02 13:52:59.925926
ALB,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2,29814,tonnes,annual,2023-10-03 21:10:30.956202,2023-11-02 13:52:59.925926
ALB,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2e_100yr,29814,tonnes,annual,2023-10-03 21:10:30.956232,2023-11-02 13:52:59.925926
ALB,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2e_20yr,29814,tonnes,annual,2023-10-03 21:10:30.95624,2023-11-02 13:52:59.925926
ARG,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2,92702,tonnes,annual,2023-10-03 21:10:30.96892,2023-11-02 13:52:59.925926
ARG,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2e_100yr,92702,tonnes,annual,2023-10-03 21:10:30.968951,2023-11-02 13:52:59.925926
ARG,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2e_20yr,92702,tonnes,annual,2023-10-03 21:10:30.968959,2023-11-02 13:52:59.925926
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,copper-mining,co2,86784,tonnes,annual,2023-10-03 21:10:30.96999,2023-11-02 13:52:59.925926
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,copper-mining,co2e_100yr,86784,tonnes,annual,2023-10-03 21:10:30.970025,2023-11-02 13:52:59.925926
ARG,2020-01-01 00:00:00,2020-12-31 00:00:00,copper-mining,co2e_20yr,86784,tonnes,annual,2023-10-03 21:10:30.970033,2023-11-02 13:52:59.925926
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,copper-mining,co2,108723,tonnes,annual,2023-10-03 21:10:30.97054,2023-11-02 13:52:59.925926
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,copper-mining,co2e_100yr,108723,tonnes,annual,2023-10-03 21:10:30.97057,2023-11-02 13:52:59.925926
ARG,2021-01-01 00:00:00,2021-12-31 00:00:00,copper-mining,co2e_20yr,108723,tonnes,annual,2023-10-03 21:10:30.970578,2023-11-02 13:52:59.925926
ARG,2022-01-01 00:00:00,2022-12-31 00:00:00,copper-mining,co2,114380,tonnes,annual,2023-10-03 21:10:30.971075,2023-11-02 13:52:59.925926
ARG,2022-01-01 00:00:00,2022-12-31 00:00:00,copper-mining,co2e_100yr,114380,tonnes,annual,2023-10-03 21:10:30.971105,2023-11-02 13:52:59.925926
ARG,2022-01-01 00:00:00,2022-12-31 00:00:00,copper-mining,co2e_20yr,114380,tonnes,annual,2023-10-03 21:10:30.971112,2023-11-02 13:52:59.925926
ARM,2015-01-01 00:00:00,2015-12-31 00:00:00,copper-mining,co2,626932,tonnes,annual,2023-10-03 21:10:30.971591,2023-11-02 13:52:59.925926
ARM,2015-01-01 00:00:00,2015-12-31 00:00:00,copper-mining,co2e_100yr,626932,tonnes,annual,2023-10-03 21:10:30.97162,2023-11-02 13:52:59.925926
ARM,2015-01-01 00:00:00,2015-12-31 00:00:00,copper-mining,co2e_20yr,626932,tonnes,annual,2023-10-03 21:10:30.971628,2023-11-02 13:52:59.925926
ARM,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2,787425,tonnes,annual,2023-10-03 21:10:30.972139,2023-11-02 13:52:59.925926
ARM,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2e_100yr,787425,tonnes,annual,2023-10-03 21:10:30.972169,2023-11-02 13:52:59.925926
ARM,2016-01-01 00:00:00,2016-12-31 00:00:00,copper-mining,co2e_20yr,787425,tonnes,annual,2023-10-03 21:10:30.972177,2023-11-02 13:52:59.925926
ARM,2017-01-01 00:00:00,2017-12-31 00:00:00,copper-mining,co2,793338,tonnes,annual,2023-10-03 21:10:30.972671,2023-11-02 13:52:59.925926
ARM,2017-01-01 00:00:00,2017-12-31 00:00:00,copper-mining,co2e_100yr,793338,tonnes,annual,2023-10-03 21:10:30.972701,2023-11-02 13:52:59.925926
ARM,2017-01-01 00:00:00,2017-12-31 00:00:00,copper-mining,co2e_20yr,793338,tonnes,annual,2023-10-03 21:10:30.972708,2023-11-02 13:52:59.925926
ARM,2018-01-01 00:00:00,2018-12-31 00:00:00,copper-mining,co2,570848,tonnes,annual,2023-10-03 21:10:30.973203,2023-11-02 13:52:59.925926
ARM,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2e_100yr,728798,tonnes,annual,2023-10-03 21:10:30.973777,2023-11-02 13:52:59.925926
ARM,2019-01-01 00:00:00,2019-12-31 00:00:00,copper-mining,co2e_20yr,728798,tonnes,annual,2023-10-03 21:10:30.973796,2023-11-02 13:52:59.925926
ARM,2022-01-01 00:00:00,2022-12-31 00:00:00,copper-mining,co2,1654861,tonnes,annual,2023-10-03 21:10:30.975479,2023-11-02 13:52:59.925926
