source_id,source_name,iso3_country,original_inventory_sector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
25486429,Karma Mine,ALB,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486430,Lak Roshi Mine,ALB,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486431,Munella Mine,ALB,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,low,very low,,,very low,,,very low,2023-10-30 00:00:00,2023-11-06 11:20:00,very low
25486432,Spac Mine,ALB,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486433,Alumbrera Mine,ARG,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486434,Lindero Mine,ARG,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,very low,,,very low,,,very low,2023-10-30 00:00:00,2023-11-06 11:20:00,very low
25486435,Agarak Mine,ARM,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,very low,,,very low,,,very low,2023-10-30 00:00:00,2023-11-06 11:20:00,very low
25486436,Kajaran Mine,ARM,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,very low,,,very low,,,very low,2023-10-30 00:00:00,2023-11-06 11:20:00,very low
25486437,Kapan Mine,ARM,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,very low,,,very low,,,very low,2023-10-30 00:00:00,2023-11-06 11:20:00,very low
25486438,Teghut Mine,ARM,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486439,Ankata Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486440,Anthill Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,low,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486441,Balcooma Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486442,Boddington Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486449,CSA Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486443,Cadia East Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486444,Cadia Hill Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486445,Cadia Valley Operation,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,medium,,,medium,,,medium,2023-10-30 00:00:00,2023-11-06 11:20:00,medium
25486446,Capricorn Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,medium,,,medium,,,medium,2023-10-30 00:00:00,2023-11-06 11:20:00,medium
25486447,Carrapateena Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486448,Cassini Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486451,DeGrussa Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486450,Deflector Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486452,Dry River South Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486453,Dugald River Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486454,Durkin North Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486455,Eloise Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,low,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486456,Enterprise Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486457,Ernest Henry Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486458,Far West Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486459,Golden Grove Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,medium,,,medium,,,medium,2023-10-30 00:00:00,2023-11-06 11:20:00,medium
25486460,Hellyer Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486461,Hera Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486462,Jaguar Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486463,Kanmantoo Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486464,Lanfranchi Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486465,Larsens/Hartmans/North East Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,high,high,,,high,,,high,2023-10-30 00:00:00,2023-11-06 11:20:00,high
25486466,Long Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486467,Malu Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
25486468,Miitel Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486469,Monty Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,,,,,,,,,2023-10-30 00:00:00,2023-11-06 11:20:00,
25486470,Mount Carlton Mine,AUS,copper-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,high,,,medium,low,,,low,,,low,2023-10-30 00:00:00,2023-11-06 11:20:00,low
