"ISO3","Annee","Emission annuelle","Somme des emissions","percentage"
"AFG",2015,9791093,1041,0.010632112267751926
"AFG",2016,9067598,3690,0.04069434926427043
"AFG",2017,9867969,1915,0.019406222293564156
"AFG",2018,10818048,1172,0.010833747456102986
"AFG",2019,11081621,1160,0.010467782646600168
"AFG",2020,11888066,1111,0.009345506661891009
"AFG",2021,12283148,900,0.007327111909748217
"AFG",2022,12147948,690,0.005679971629776486
"ALB",2015,4712144,15873,0.33685303335381944
"ALB",2016,4631979,1804,0.03894663598431686
"ALB",2017,5293048,134,0.0025316226113951735
"ALB",2018,4894953,21659,0.44247615860663014
"ALB",2019,4826944,29940,0.6202682276819453
"ALB",2020,5018921,38049,0.7581111557643566
"ALB",2021,4903652,36856,0.7516030909208076
"ALB",2022,4954730,35075,0.7079094118145691
"DZA",2015,160087460,27169,0.01697134803687934
"DZA",2016,158481630,23839,0.015042121916590585
"DZA",2017,165089600,14639,0.008867305996259001
"DZA",2018,171276020,20556,0.012001680095088618
"DZA",2019,178577220,22567,0.012637110153243508
"DZA",2020,169892770,17591,0.010354178108933064
"DZA",2021,180225200,11800,0.006547364075612068
"DZA",2022,176345140,9022,0.005116103568263917
"AND",2015,465328,0,0
"AND",2016,468992,0,0
"AND",2017,465328,0,0
"AND",2018,494640,0,0
"AND",2019,483648,0,0
"AND",2020,373728,0,0
"AND",2021,363046,0,0
"AND",2022,368645,0,0
"AGO",2015,26030358,523,0.0020091924974677644
"AGO",2016,23992706,552,0.0023006992208381995
"AGO",2017,22617028,579,0.0025600180536540875
"AGO",2018,21434458,596,0.002780569492356653
"AGO",2019,19222174,613,0.003189025341254324
"AGO",2020,16764786,640,0.003817525615895127
"AGO",2021,17505714,659,0.003764485127541784
"AGO",2022,16070269,679,0.004225193741311984
"AIA",2015,139232,0,0
"AIA",2016,139232,0,0
"AIA",2017,128240.01,0,0
"AIA",2018,131904,0,0
"AIA",2019,146560,0,0
"AIA",2020,142896,0,0
"AIA",2021,137698,0,0
"AIA",2022,138967,0,0
"ATG",2015,582576,0,0
"ATG",2016,597232,0,0
"ATG",2017,604560,0,0
"ATG",2018,615552,0,0
"ATG",2019,641200,0,0
"ATG",2020,619216,0,0
"ATG",2021,596693,0,0
"ATG",2022,602192,0,0
"ARG",2015,191743840,758476,0.39556733608756345
"ARG",2016,189920450,806885,0.42485419553291914
"ARG",2017,186898880,555923,0.29744587019462077
"ARG",2018,180599310,405423,0.22448756864021244
"ARG",2019,178511620,289350,0.16209028857617225
"ARG",2020,166879580,406401,0.24352949593952716
"ARG",2021,189744130,356083,0.1876648305273001
"ARG",2022,192864430,331780,0.17202757398033428
"ARM",2015,5469323,627062,11.465075293596666
"ARM",2016,5203013,787548,15.136383476266541
"ARM",2017,5540153,793460,14.321987136456341
"ARM",2018,5825786,571082,9.802660104576447
"ARM",2019,6284110,729029,11.601149566127901
"ARM",2020,6799022,1856331,27.30291209529841
"ARM",2021,7064143,1668595,23.620628857598156
"ARM",2022,6407760,1655185,25.830945603455806
"ABW",2015,897680,0,0
"ABW",2016,883024,0,0
"ABW",2017,890352,0,0
"ABW",2018,872032,0,0
"ABW",2019,890352,0,0
"ABW",2020,890352,0,0
"ABW",2021,857967,0,0
"ABW",2022,865874,0,0
"AUS",2015,401378370,8242031,2.053431778100051
"AUS",2016,410253600,8356311,2.0368647587735973
"AUS",2017,413655460,8214584,1.9858517037343106
"AUS",2018,415350720,8590814,2.0683277014663655
"AUS",2019,415811260,8798580,2.116003303999031
"AUS",2020,396685200,9414378,2.373261719872584
"AUS",2021,386606940,11037175,2.854882791291848
"AUS",2022,392279260,11568423,2.9490274352001173
"AUT",2015,66365640,162432,0.24475315841149126
"AUT",2016,67226580,154952,0.23049216545003476
"AUT",2017,69608664,166969,0.23986812905933663
"AUT",2018,66571892,159093,0.23897923766384768
"AUT",2019,67956160,171814,0.2528306484651281
"AUT",2020,62121252,164475,0.26476446418047084
"AUT",2021,66018630,175652,0.266064291246274
"AUT",2022,61488424,179288,0.29158008668428387
"AZE",2015,34682950,28939,0.0834386924987638
"AZE",2016,34727330,42793,0.12322571300471415
"AZE",2017,34607044,46319,0.1338426939902755
"AZE",2018,34575828,37989,0.10987155535364186
"AZE",2019,37737896,49826,0.1320317380704001
"AZE",2020,36149228,58867,0.1628444181435908
"AZE",2021,38333620,62086,0.16196226706478545
"AZE",2022,38062656,60976,0.1601990150135608
"BHS",2015,2246032,0,0
"BHS",2016,2209392,0,0
"BHS",2017,2509840,0,0
"BHS",2018,2421904,0,0
"BHS",2019,2454880,0,0
"BHS",2020,2183744,0,0
"BHS",2021,2100671,0,0
"BHS",2022,2120000,0,0
"BHR",2015,32459652,0,0
"BHR",2016,31559504,0,0
"BHR",2017,32835182,0,0
"BHR",2018,32636948,0,0
"BHR",2019,37583132,0,0
"BHR",2020,37395950,0,0
"BHR",2021,38122464,0,0
"BHR",2022,37795670,0,0
"BGD",2015,73157550,1119,0.0015295755530358795
"BGD",2016,76203280,194,0.0002545822174583561
"BGD",2017,80741780,78,0.0000966042611396479
"BGD",2018,82555700,915,0.001108342609898529
"BGD",2019,100791880,1282,0.0012719278576805988
"BGD",2020,93614960,1031,0.0011013197036029284
"BGD",2021,98760296,1564,0.0015836323536332858
"BGD",2022,102103340,1900,0.0018608597916581378
"BRB",2015,1686392,0,0
"BRB",2016,1693720,0,0
"BRB",2017,1644597,0,0
"BRB",2018,1655590,0,0
"BRB",2019,1666716,0,0
"BRB",2020,1233549,0,0
"BRB",2021,1226393,0,0
"BRB",2022,1232837,0,0
"BLR",2015,58798910,11,0.00001870782978800117
"BLR",2016,58134484,8,0.000013761195506611875
"BLR",2017,59381852,8,0.00001347212949841982
"BLR",2018,62156932,9,0.000014479479135167095
"BLR",2019,62096344,8,0.00001288320613529196
"BLR",2020,59055548,7,0.000011853247048016555
"BLR",2021,60938200,7,0.000011487047533402694
"BLR",2022,58801130,6,0.000010203885537573852
"BEL",2015,101145630,0,0
"BEL",2016,99623020,0,0
"BEL",2017,99055040,0,0
"BEL",2018,99967320,0,0
"BEL",2019,99470264,0,0
"BEL",2020,91101384,0,0
"BEL",2021,95668080,0,0
"BEL",2022,89605360,0,0
"BLZ",2015,641200,0,0
"BLZ",2016,626544,0,0
"BLZ",2017,615552,0,0
"BLZ",2018,604560,0,0
"BLZ",2019,707152,0,0
"BLZ",2020,613332,0,0
"BLZ",2021,702059,0,0
"BLZ",2022,725231,0,0
"BEN",2015,5328876,0,0
"BEN",2016,6494014,0,0
"BEN",2017,6804151,0,0
"BEN",2018,7434497,0,0
"BEN",2019,7116143,0,0
"BEN",2020,7744662,0,0
"BEN",2021,8312495,0,0
"BEN",2022,8432160,0,0
"BMU",2015,538608,0,0
"BMU",2016,619216,0,0
"BMU",2017,633872,0,0
"BMU",2018,696160,0,0
"BMU",2019,593568,0,0
"BMU",2020,458000,0,0
"BMU",2021,441341,0,0
"BMU",2022,445408,0,0
"BTN",2015,1056506,10553,0.9988585015134794
"BTN",2016,1261386,10878,0.862384710152166
"BTN",2017,1341511,12112,0.9028625184586634
"BTN",2018,1477737,12914,0.8739038137368151
"BTN",2019,1458625,12725,0.8723969491815923
"BTN",2020,919762,13735,1.4933210982841214
"BTN",2021,1062180,15096,1.4212280404451223
"BTN",2022,1055528,15897,1.5060708953244253
"BOL",2015,19886526,47974,0.24123871610355674
"BOL",2016,21239286,44123,0.2077423883269899
"BOL",2017,22171246,34006,0.15337884032318255
"BOL",2018,22501642,26399,0.11732032711212809
"BOL",2019,22605112,22775,0.10075154681825951
"BOL",2020,18326306,6901,0.03765625216560282
"BOL",2021,21725994,5984,0.027543043600214565
"BOL",2022,21493740,6799,0.03163246601103391
"BES",2015,95264,0,0
"BES",2016,102592,0,0
"BES",2017,102592,0,0
"BES",2018,98928,0,0
"BES",2019,109920,0,0
"BES",2020,113584,0,0
"BES",2021,109453,0,0
"BES",2022,110461,0,0
"BIH",2015,18460492,1994700,10.805237476877648
"BIH",2016,21730408,2085337,9.596400582998719
"BIH",2017,22156174,2006161,9.054636418724641
"BIH",2018,22075036,1694633,7.676694162582566
"BIH",2019,20810378,1702106,8.179121013563522
"BIH",2020,20831812,310453,1.4902832264423278
