iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,iron-mining,co2,5122,tonnes,annual,2023-10-03 21:13:22.884356,2023-11-02 13:53:01.554804
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,iron-mining,co2e_100yr,5122,tonnes,annual,2023-10-03 21:13:22.884395,2023-11-02 13:53:01.554804
ARG,2015-01-01 00:00:00,2015-12-31 00:00:00,iron-mining,co2e_20yr,5122,tonnes,annual,2023-10-03 21:13:22.884402,2023-11-02 13:53:01.554804
ARG,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2,2444,tonnes,annual,2023-10-03 21:13:22.884898,2023-11-02 13:53:01.554804
ARG,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2e_100yr,2444,tonnes,annual,2023-10-03 21:13:22.884928,2023-11-02 13:53:01.554804
ARG,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2e_20yr,2444,tonnes,annual,2023-10-03 21:13:22.884936,2023-11-02 13:53:01.554804
ARG,2017-01-01 00:00:00,2017-12-31 00:00:00,iron-mining,co2,650,tonnes,annual,2023-10-03 21:13:22.885541,2023-11-02 13:53:01.554804
ARG,2017-01-01 00:00:00,2017-12-31 00:00:00,iron-mining,co2e_100yr,650,tonnes,annual,2023-10-03 21:13:22.885574,2023-11-02 13:53:01.554804
ARG,2017-01-01 00:00:00,2017-12-31 00:00:00,iron-mining,co2e_20yr,650,tonnes,annual,2023-10-03 21:13:22.885582,2023-11-02 13:53:01.554804
ARG,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2,650,tonnes,annual,2023-10-03 21:13:22.886111,2023-11-02 13:53:01.554804
ARG,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2e_100yr,650,tonnes,annual,2023-10-03 21:13:22.886141,2023-11-02 13:53:01.554804
ARG,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2e_20yr,650,tonnes,annual,2023-10-03 21:13:22.886148,2023-11-02 13:53:01.554804
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2,650,tonnes,annual,2023-10-03 21:13:22.886653,2023-11-02 13:53:01.554804
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2e_100yr,650,tonnes,annual,2023-10-03 21:13:22.886682,2023-11-02 13:53:01.554804
ARG,2019-01-01 00:00:00,2019-12-31 00:00:00,iron-mining,co2e_20yr,650,tonnes,annual,2023-10-03 21:13:22.88669,2023-11-02 13:53:01.554804
