source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
25486984,AGO,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,0,0,T of CO2 per T of iron extracted,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,0,0,T of CO2 per T of iron extracted,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,0,0,T of CO2 per T of iron extracted,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486984,AGO,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Cassinga Mine,iron-mine,-14.687436,16.04864,trace_16.04864_-14.687436
25486985,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,0,0,T of CO2 per T of iron extracted,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,0,0,T of CO2 per T of iron extracted,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,0,0,T of CO2 per T of iron extracted,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,0,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486985,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,,,N/A,,0,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Abydos Mine,iron-mine,-21.146121,119.105658,trace_119.105658_-21.146121
25486986,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,,,N/A,,82972187,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,506769,0.0061,T of CO2 per T of iron extracted,,N/A,,82972187,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,,,N/A,,82972187,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,,,N/A,,85478727,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,410298,0.0048,T of CO2 per T of iron extracted,,N/A,,85478727,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,506769,,,,N/A,,82972187,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,506769,,,,N/A,,82972187,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,526346,0.0061,T of CO2 per T of iron extracted,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,526346,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
25486986,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,526346,,,,N/A,,86177457,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Area C Mine,iron-mine,-22.923369,118.949384,trace_118.949384_-22.923369
