iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.010514,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.010537,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.010549,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.010559,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.010567,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.011208,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.011224,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.011234,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.011242,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.01125,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.011799,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.011814,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.011824,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.011833,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.01184,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.012412,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.012427,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.012438,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.012446,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.012454,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.013001,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.013017,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.013027,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.013036,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.013044,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.013578,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.013593,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.013603,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.013611,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.013619,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.014169,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.01419,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.014204,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.014213,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.014221,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.014762,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.014778,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.014787,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.014796,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.014815,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2,51,tonnes,annual,2023-10-03 21:10:31.015365,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.01538,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.01539,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2e_100yr,51,tonnes,annual,2023-10-03 21:10:31.015398,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2e_20yr,51,tonnes,annual,2023-10-03 21:10:31.015406,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2,37,tonnes,annual,2023-10-03 21:10:31.015934,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.01596,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.01597,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2e_100yr,37,tonnes,annual,2023-10-03 21:10:31.015978,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2e_20yr,37,tonnes,annual,2023-10-03 21:10:31.015985,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2,35,tonnes,annual,2023-10-03 21:10:31.016517,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.016532,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.016542,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_100yr,35,tonnes,annual,2023-10-03 21:10:31.01655,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_20yr,35,tonnes,annual,2023-10-03 21:10:31.016558,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2,34,tonnes,annual,2023-10-03 21:10:31.017107,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.017122,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.017131,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_100yr,34,tonnes,annual,2023-10-03 21:10:31.017139,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_20yr,34,tonnes,annual,2023-10-03 21:10:31.017147,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2,130,tonnes,annual,2023-10-03 21:10:31.017689,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.017704,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.017713,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_100yr,130,tonnes,annual,2023-10-03 21:10:31.017722,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_20yr,130,tonnes,annual,2023-10-03 21:10:31.017729,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2,103,tonnes,annual,2023-10-03 21:10:31.018271,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.018286,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.018295,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2e_100yr,103,tonnes,annual,2023-10-03 21:10:31.018303,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2e_20yr,103,tonnes,annual,2023-10-03 21:10:31.018311,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,136,tonnes,annual,2023-10-03 21:10:31.018873,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.018888,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.018898,
