iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.942938,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.942964,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.942976,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.942986,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.942994,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.943639,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.943655,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.943665,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.943673,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.943681,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.944259,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.944275,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.944285,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.944294,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.944302,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.944855,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.944871,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.944881,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.944889,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.944897,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.945562,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.94558,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.94559,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.945598,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.945606,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.946184,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.9462,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.94621,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.946218,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.946226,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.946768,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.946783,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.946792,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.946801,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.946808,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,sand-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:30.947374,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.947389,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.947398,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,sand-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:30.947407,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,sand-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:30.947414,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2,990,tonnes,annual,2023-10-03 21:10:30.947948,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:30.947963,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:30.947972,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_100yr,990,tonnes,annual,2023-10-03 21:10:30.947981,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,sand-quarrying,co2e_20yr,990,tonnes,annual,2023-10-03 21:10:30.947988,
